Date,Site,Surveyor,Sample_point,Long,Lat,Accuracy,Compass_direction_to_understorey_canopy_cover_measurement,Para_0_value,Para_255_value,Perp_0_value,Perp_255_value,Comments
03/05/2023,Barnes,Emma,B112,51.47092,0.2351,4,W,4925452,2238708,4391607,2772553,
03/05/2023,Barnes,Emma,B112,51.47092,0.2351,4,N,5579291,1584869,5531776,1632384,
03/05/2023,Barnes,Emma,B112,51.47092,0.2351,4,E,3751338,3412822,4121752,3042408,
03/05/2023,Barnes,Emma,B111,51.47065,0.23363,3,S,5921893,1242267,5670859,1493301,
03/05/2023,Barnes,Emma,B111,51.47065,0.23363,3,W,5299302,1864858,5182356,1981804,
03/05/2023,Barnes,Emma,B111,51.47065,0.23363,3,N,5523893,1640267,5504137,1660023,
03/05/2023,Barnes,Emma,B111,51.47065,0.23363,3,E,5543081,1621079,5407016,1757144,
03/05/2023,Barnes,Emma,B113,51.47017,0.23432,3,S,4845839,2318321,4844549,2319611,
03/05/2023,Barnes,Emma,B113,51.47017,0.23432,3,W,4664037,2500123,4449929,2714231,
03/05/2023,Barnes,Emma,B113,51.47017,0.23432,3,N,4820916,2343244,4809337,2354823,
03/05/2023,Barnes,Emma,B113,51.47017,0.23432,3,E,4398945,2765215,4542893,2621267,
03/05/2023,Barnes,Emma,B131,51.46965,0.2358,3,S,1013357,6150803,1068211,6095949,
03/05/2023,Barnes,Emma,B131,51.46965,0.2358,3,W,1080180,6083980,983966,6180194,Adjusted starting threshold to 100 to remove sun glare issue
03/05/2023,Barnes,Emma,B131,51.46965,0.2358,3,N,3336003,3828157,3291496,3872664,
03/05/2023,Barnes,Emma,B131,51.46965,0.2358,3,E,5260236,1903924,5690791,1473369,
03/05/2023,Barnes,Emma,B132,51.46959,0.23741,3,S,1778951,5385209,1462347,5701813,Adjusted starting threshold to 100 to remove sun glare issue for S2
03/05/2023,Barnes,Emma,B132,51.46959,0.23741,3,W,2304977,4859183,2773405,4390755,
03/05/2023,Barnes,Emma,B132,51.46959,0.23741,3,N,2847295,4316865,3438216,3725944,
03/05/2023,Barnes,Emma,B132,51.46959,0.23741,3,E,1378824,5785336,1781097,5383063,Adjusted starting threshold to 100 to remove sun glare issue
03/05/2023,Barnes,Emma,B133,51.46891,0.23726,3,S,1958002,5206158,553989,6610171,Adjusted starting threshold to 100 to remove sun glare issue
03/05/2023,Barnes,Emma,B133,51.46891,0.23726,3,W,2553572,4610588,2857641,4306519,
03/05/2023,Barnes,Emma,B133,51.46891,0.23726,3,N,4153308,3010852,4503627,2660533,
03/05/2023,Barnes,Emma,B133,51.46891,0.23726,3,E,2226869,4937291,2394615,4769545,
03/05/2023,Barnes,Emma,B213,51.46699,0.24169,3,S,5214274,1949886,4213598,2950562,
03/05/2023,Barnes,Emma,B213,51.46699,0.24169,3,W,1773579,5390581,1287447,5876713,Adjusted W2 image threshold to 100 to remove sun glare
03/05/2023,Barnes,Emma,B213,51.46699,0.24169,3,N,1497586,5666574,1042798,6121362,
03/05/2023,Barnes,Emma,B213,51.46699,0.24169,3,E,0,7164160,0,7164160,Adjusted starting threshold to 100 to remove sun glare issue
02/05/2023,Barnes,Poorvi & Emma,B222,51.4686,0.24452,3,S,4084294,3079866,3634177,3529983,
02/05/2023,Barnes,Poorvi & Emma,B222,51.4686,0.24452,3,W,5872384,1291776,5826203,1337957,
02/05/2023,Barnes,Poorvi & Emma,B222,51.4686,0.24452,3,N,3797052,3367108,4094170,3069990,
02/05/2023,Barnes,Poorvi & Emma,B222,51.4686,0.24452,3,E,3669965,3494195,3922263,3241897,
02/05/2023,Barnes,Poorvi & Emma,B221,51.46805,0.2429,3,S,3390869,3773291,2937558,4226602,
02/05/2023,Barnes,Poorvi & Emma,B221,51.46805,0.2429,3,W,860123,6304037,1585189,5578971,
02/05/2023,Barnes,Poorvi & Emma,B221,51.46805,0.2429,3,N,3699184,3464976,3464960,3699200,
02/05/2023,Barnes,Poorvi & Emma,B221,51.46805,0.2429,3,E,4237032,2927128,3921783,3242377,
02/05/2023,Barnes,Poorvi & Emma,B223,51.46773,0.24432,3,S,3995103,3169057,4072402,3091758,
02/05/2023,Barnes,Poorvi & Emma,B223,51.46773,0.24432,3,W,3300489,3863671,3403661,3760499,
02/05/2023,Barnes,Poorvi & Emma,B223,51.46773,0.24432,3,N,3526400,3637760,3652577,3511583,
02/05/2023,Barnes,Poorvi & Emma,B223,51.46773,0.24432,3,E,3510767,3653393,3470819,3693341,
03/05/2023,Barnes,Emma,B212,51.46766,0.24176,3,S,5772531,1391629,6218093,946067,
03/05/2023,Barnes,Emma,B212,51.46766,0.24176,3,W,4678133,2486027,4586993,2577167,
03/05/2023,Barnes,Emma,B212,51.46766,0.24176,3,N,4342022,2822138,4617701,2546459,
03/05/2023,Barnes,Emma,B212,51.46766,0.24176,3,E,4629577,2534583,4253015,2911145,
03/05/2023,Barnes,Emma,B211,51.46735,0.24058,3,S,1491177,5672983,2033279,5130881,
03/05/2023,Barnes,Emma,B211,51.46735,0.24058,3,W,2844486,4319674,2362224,4801936,
02/05/2023,Barnes,Poorvi & Emma,B211,51.46735,0.24058,3,N,2610305,4553855,2914931,4249229,
02/05/2023,Barnes,Poorvi & Emma,B211,51.46735,0.24058,3,E,3885552,3278608,4150572,3013588,
02/05/2023,Barnes,Poorvi & Emma,B232,51.46671,0.24397,3,S,5792277,1371883,5669156,1495004,
02/05/2023,Barnes,Poorvi & Emma,B232,51.46671,0.24397,3,W,5255972,1908188,5182436,1981724,
02/05/2023,Barnes,Poorvi & Emma,B232,51.46671,0.24397,3,N,5152169,2011991,5116194,2047966,
03/05/2023,Barnes,Emma,B232,51.46671,0.24397,3,E,5716789,1447371,5282913,1881247,
02/05/2023,Barnes,Poorvi & Emma,B231,51.46624,0.24302,3,S,4468597,2695563,4269338,2894822,
02/05/2023,Barnes,Poorvi & Emma,B231,51.46624,0.24302,3,W,4859216,2304944,5157744,2006416,
02/05/2023,Barnes,Poorvi & Emma,B231,51.46624,0.24302,3,N,4204829,2959331,4130953,3033207,
02/05/2023,Barnes,Poorvi & Emma,B231,51.46624,0.24302,3,E,5800797,1363363,5515142,1649018,
02/05/2023,Barnes,Poorvi & Emma,B233,51.46587,0.24394,3,S,5313656,1850504,5242419,1921741,
02/05/2023,Barnes,Poorvi & Emma,B233,51.46587,0.24394,3,W,4887445,2276715,4786475,2377685,
02/05/2023,Barnes,Poorvi & Emma,B233,51.46587,0.24394,3,N,4018986,3145174,4426889,2737271,
02/05/2023,Barnes,Poorvi & Emma,B233,51.46587,0.24394,3,E,4999649,2164511,5363307,1800853,
02/05/2023,Barnes,Poorvi & Emma,B311,51.47131,0.24412,3,S,3202161,3961999,2652011,4512149,
02/05/2023,Barnes,Poorvi & Emma,B311,51.47131,0.24412,3,W,3890178,3273982,4028624,3135536,
02/05/2023,Barnes,Poorvi & Emma,B311,51.47131,0.24412,3,N,531685,6632475,314838,6849322,Adjusted N2 threshold to 100 to remove sun glare / cloud issue
02/05/2023,Barnes,Poorvi & Emma,B311,51.47131,0.24412,3,E,2213890,4950270,2069027,5095133,
