Site,Sample_point,Date,Time,Sonobat_filtered_tolerant,Sonobat_filtered_medium_yettorun,com_pip_passes,com_pip_fb,sop_pip_passes,sop_pip_fb,nat_pip_passes,noid_pip_passes,noid_pip_fb,nls_passes,myotis_passes,unknown_passes,unknown_fb,social_calls,Comments,Pippip,Pippyg,Myonat,Nycnoc,Nyclas,NoID,Nyclei,Pleaus,Pleaur,Eptser,Pipnat,Myotis,Barbar
Barnes,B111,03/05/2023,04:42:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,04:48:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,04:54:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,,0.470078,,,,,,,,,,,
Barnes,B111,03/05/2023,05:00:00,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,05:06:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,05:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,05:18:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,05:24:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,05:30:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,05:36:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.743401,,,,,,,,,
Barnes,B111,03/05/2023,05:42:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,05:48:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,05:54:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B111,03/05/2023,06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,19:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:36:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:42:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:48:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,20:54:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,plus social call,,,,,0.83807,,,,,,,,
Barnes,B112,02/05/2023,21:00:00,1,1,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,21:06:00,1,1,2,0,4,0,0,0,0,0,0,0,0,0,,0.790268,,,,,,,,,,,,
Barnes,B112,02/05/2023,21:12:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Barnes,B112,02/05/2023,21:18:00,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
