Date,Site,Time,Air_temp,Wind_speed,Rainfall_accumulation,Rainfall_last_3hrs,Comment
05/05/2023,Barnes,15:00,18.9,7.6,0.3,0.3,
05/05/2023,Barnes,18:00,18.4,8,0.3,0,
05/05/2023,Barnes,21:00,15.3,0,0.3,0,
06/05/2023,Barnes,00:00,12.8,1.4,0.3,0,
06/05/2023,Barnes,03:00,11.9,1.1,0,0,
06/05/2023,Barnes,06:00,11,1.9,0,0,
06/05/2023,Barnes,09:00,14.3,1.7,0,0,
06/05/2023,Barnes,12:00,14.1,2.2,1.4,1.4,
06/05/2023,Barnes,15:00,14,2.2,3.5,2.1,
06/05/2023,Barnes,18:00,14,2.4,5.1,1.6,
06/05/2023,Barnes,21:00,13.7,2.4,5.1,0,
07/05/2023,Barnes,00:00,13.4,3.9,5.1,0,
07/05/2023,Barnes,03:00,12.2,1.9,0,0,
07/05/2023,Barnes,06:00,12.2,1.6,0,0,
07/05/2023,Barnes,09:00,13.6,1.9,0,0,
07/05/2023,Barnes,12:00,15.9,2.2,0,0,
07/05/2023,Barnes,15:00,17.9,1.4,0,0,
07/05/2023,Barnes,18:00,19.6,0,0,0,
07/05/2023,Barnes,21:00,16.5,1.1,0,0,
08/05/2023,Barnes,00:00,12.8,1.4,0,0,
08/05/2023,Barnes,03:00,11,1.1,0,0,
08/05/2023,Barnes,06:00,10.5,1.4,0,0,
08/05/2023,Barnes,09:00,12.8,7,0,0,
08/05/2023,Barnes,12:00,14.5,3.5,0,0,
08/05/2023,Barnes,15:00,14.6,1,0,0,
08/05/2023,Barnes,18:00,13.8,2.2,0,0,
08/05/2023,Barnes,21:00,13.3,1.9,0,0,
09/05/2023,Barnes,00:00,13.3,1.9,3.4,3.4,
09/05/2023,Barnes,03:00,13.3,2.2,5,5,
09/05/2023,Barnes,06:00,12.5,1.7,5.5,0.5,
09/05/2023,Barnes,09:00,13.2,1.9,5.5,0,
09/05/2023,Barnes,12:00,15.9,0,5.5,0,
09/05/2023,Barnes,15:00,17.7,6.4,5.5,0,
09/05/2023,Barnes,18:00,15.4,3,5.7,0.2,
09/05/2023,Barnes,21:00,12.3,1.4,9.1,3.4,
10/05/2023,Barnes,00:00,11.2,3.1,9.1,0,
10/05/2023,Barnes,03:00,11.1,1,0,0,
10/05/2023,Barnes,06:00,9.9,1.6,0,0,
10/05/2023,Barnes,09:00,12.4,4.1,0,0,
10/05/2023,Barnes,12:00,15.8,6.3,0,0,
10/05/2023,Barnes,15:00,16,1.7,0.1,0.1,
10/05/2023,Barnes,18:00,14.3,4.4,0.2,0.1,
10/05/2023,Barnes,21:00,13.1,1.4,5,4.8,
11/05/2023,Barnes,00:00,10.6,1.1,5,0,
11/05/2023,Barnes,03:00,9.3,0,0,0,
11/05/2023,Barnes,06:00,9.6,0,0,0,
11/05/2023,Barnes,09:00,12.4,1.1,0,0,
11/05/2023,Barnes,12:00,16.2,7.6,0,0,
11/05/2023,Barnes,15:00,15.8,1.6,0,0,
11/05/2023,Barnes,18:00,16.4,5,0,0,
11/05/2023,Barnes,21:00,12.5,1.6,0.6,0.6,
12/05/2023,Barnes,00:00,11.9,2.4,0.6,0,
12/05/2023,Barnes,03:00,10.5,3.3,0,0,
12/05/2023,Barnes,06:00,10.4,2.5,0,0,
12/05/2023,Barnes,09:00,12.8,3.9,0,0,
12/05/2023,Barnes,12:00,11.9,9.1,0,0,
