Date,Site,Surveyor,Sample_point,Tree_ID,Long,Lat,Accuracy,Lux_positioning,Actual_proxy,Lux_Night_1,Lux_Night_2,UV_Night_1,UV_Night_2,Comments
07/06/2023,Barnes,Emma ,B213,Horse Chestnut,51.46699,0.24169,3,Horizontal,actual,0.68,0.47,na,na,
07/06/2023,Barnes,Emma ,B221,Oak ,51.46805,0.2429,3,Horizontal,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B222,False Acacia,51.4686,0.24452,3,Horizontal,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B223,False Acacia,51.46773,0.24432,3,Horizontal,actual,0.18,0.13,na,na,
07/06/2023,Barnes,Emma ,B231,Oak ,51.46624,0.24302,3,Horizontal,actual,0.02,0.01,na,na,
07/06/2023,Barnes,Emma ,B232,Sycamore,51.46671,0.24397,3,Horizontal,actual,0,0,na,na,
07/06/2023,Barnes,Emma ,B233,Oak ,51.46587,0.24394,3,Horizontal,actual,0,0,na,na,
07/06/2023,Barnes,Emma ,B311,Horse Chestnut,51.47131,0.24412,3,Horizontal,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B111,Sycamore,51.47065,0.23363,3,Vertical,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B112,Birch,51.47092,0.2351,4,Vertical,actual,0.01,0.02,na,na,
07/06/2023,Barnes,Emma ,B113,Oak ,51.47017,0.23432,3,Vertical,actual,0.04,0.03,na,na,
07/06/2023,Barnes,Emma ,B121,Lamp post,51.47117,0.23616,3,Vertical,actual,4.07,4.3,na,na,
07/06/2023,Barnes,Emma ,B122,Cherry?,51.42166,0.23792,6,Vertical,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B123,Ash,51.47071,0.23726,3,Vertical,actual,1.05,1.05,na,na,
07/06/2023,Barnes,Emma ,B131,Maple,51.46965,0.2358,3,Vertical,actual,0.06,0.13,na,na,
07/06/2023,Barnes,Emma ,B132,False Acacia,51.46959,0.23741,3,Vertical,actual,2.74,2.47,na,na,
07/06/2023,Barnes,Emma ,B133,Oak ,51.46891,0.23726,3,Vertical,actual,0.02,0.02,na,na,
07/06/2023,Barnes,Emma ,B211,Oak ,51.46735,0.24058,3,Vertical,actual,0.02,0.02,na,na,
07/06/2023,Barnes,Emma ,B212,Oak ,51.46766,0.24176,3,Vertical,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B213,Horse Chestnut,51.46699,0.24169,3,Vertical,actual,3.85,3.76,na,na,
07/06/2023,Barnes,Emma ,B221,Oak ,51.46805,0.2429,3,Vertical,actual,0.02,0.02,na,na,
07/06/2023,Barnes,Emma ,B222,False Acacia,51.4686,0.24452,3,Vertical,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B223,False Acacia,51.46773,0.24432,3,Vertical,actual,0.8,1.01,na,na,
07/06/2023,Barnes,Emma ,B231,Oak ,51.46624,0.24302,3,Vertical,actual,0.04,0.04,na,na,
07/06/2023,Barnes,Emma ,B232,Sycamore,51.46671,0.24397,3,Vertical,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B233,Oak ,51.46587,0.24394,3,Vertical,actual,0,0,na,na,
07/06/2023,Barnes,Emma ,B311,Horse Chestnut,51.47131,0.24412,3,Vertical,actual,0.01,0.01,na,na,
